NAME,WEAR,STICKER_0,STICKER_1,STICKER_2,STICKER_3,ID,LINK
M4A1-S | Mecha Industries,Field-Tested,G2 Esports (Holo) | Cologne 2016,G2 Esports (Holo) | Cologne 2016,G2 Esports (Holo) | Cologne 2016,G2 Esports (Holo) | Cologne 2016,730_2_27533530699,https://steamcommunity.com/profiles/76561199199126678/inventory/#730_2_27533530699
P250 | Undertow,Minimal Wear,Team EnVyUs (Holo) | Cologne 2016,Team EnVyUs (Holo) | Cologne 2016,Team EnVyUs (Holo) | Cologne 2016,ESL (Holo) | Cologne 2016,730_2_27533530698,https://steamcommunity.com/profiles/76561199199126678/inventory/#730_2_27533530698
Glock-18 | Twilight Galaxy,Factory New,Team EnVyUs (Holo) | Cologne 2016,Team EnVyUs (Holo) | Cologne 2016,Team EnVyUs (Holo) | Cologne 2016,Team EnVyUs (Holo) | MLG Columbus 2016,730_2_27533530695,https://steamcommunity.com/profiles/76561199199126678/inventory/#730_2_27533530695
AWP | Hyper Beast,Minimal Wear,G2 Esports (Holo) | Cologne 2016,SK Gaming | Cologne 2016,Luminosity Gaming | MLG Columbus 2016,FalleN | Krakow 2017,730_2_27533224532,https://steamcommunity.com/profiles/76561199199126678/inventory/#730_2_27533224532
M4A4 | Evil Daimyo,Minimal Wear,fox (Foil) | Cluj-Napoca 2015,Fowl Play,Astralis | Cologne 2016,fer | Boston 2018,730_2_27584314569,https://steamcommunity.com/profiles/76561199199444253/inventory/#730_2_27584314569
StatTrak™ Glock-18 | Blue Fissure,Minimal Wear,Gambit Esports (Holo) | Boston 2018,paz (Foil) | Boston 2018,fer (Foil) | Berlin 2019,,730_2_27578877630,https://steamcommunity.com/profiles/76561199199444253/inventory/#730_2_27578877630
AK-47 | Aquamarine Revenge,Minimal Wear,Showdown (Foil),,,,730_2_27532670621,https://steamcommunity.com/profiles/76561199199444253/inventory/#730_2_27532670621
MAC-10 | Neon Rider,Field-Tested,TaZ (Foil) | Cologne 2015,,,,730_2_27523789787,https://steamcommunity.com/profiles/76561199199444253/inventory/#730_2_27523789787
AWP | Asiimov,Well-Worn,Bosh (Holo),Bash (Holo),Bish (Holo),DavCost (Foil) | Cologne 2015,730_2_27518283267,https://steamcommunity.com/profiles/76561199199444253/inventory/#730_2_27518283267
AWP | Neo-Noir,Field-Tested,Blue Gem (Glitter),,,,730_2_27587236118,https://steamcommunity.com/profiles/76561199198355439/inventory/#730_2_27587236118
AK-47 | Blue Laminate,Factory New,ESL One Cologne 2014 (Blue),Fnatic | Cologne 2014,Team LDLC.com | Cologne 2014,Cloud9 | Cologne 2014,730_2_27542467313,https://steamcommunity.com/profiles/76561199198355439/inventory/#730_2_27542467313
AK-47 | Panthera onca,Field-Tested,Blue Gem (Glitter),Blue Gem (Glitter),Baby Howl,Blue Gem (Glitter),730_2_27524342984,https://steamcommunity.com/profiles/76561199198355439/inventory/#730_2_27524342984
M4A4 | Asiimov,Field-Tested,Showdown (Foil),Showdown (Foil),Showdown (Foil),,730_2_27417982775,https://steamcommunity.com/profiles/76561199198355439/inventory/#730_2_27417982775
AK-47 | Redline,Field-Tested,Pixiu (Foil),Phoenix Reborn (Foil),Incineration (Holo),Fancy Koi (Foil),730_2_27417589796,https://steamcommunity.com/profiles/76561199198355439/inventory/#730_2_27417589796
Desert Eagle | Printstream,Battle-Scarred,Leaving The Station (Holo),,,,730_2_27570315698,https://steamcommunity.com/profiles/76561199199327394/inventory/#730_2_27570315698
M4A1-S | Basilisk,Minimal Wear,byali | Cluj-Napoca 2015,Virtus.Pro | Cologne 2014,,,730_2_27566440203,https://steamcommunity.com/profiles/76561199199327394/inventory/#730_2_27566440203
CZ75-Auto | Xiangliu,Minimal Wear,Dragon Lore (Foil),,,,730_2_27565439724,https://steamcommunity.com/profiles/76561199199327394/inventory/#730_2_27565439724
M4A4 | Griffin,Factory New,Ninjas in Pyjamas | Cologne 2014,,,,730_2_27560895645,https://steamcommunity.com/profiles/76561199199327394/inventory/#730_2_27560895645
MAG-7 | BI83 Spectrum,Factory New,TV Installation (Lenticular),TV Installation (Lenticular),TV Installation (Lenticular),TV Installation (Lenticular),730_2_27558724855,https://steamcommunity.com/profiles/76561199199327394/inventory/#730_2_27558724855
AWP | Neo-Noir,Factory New,TV Installation (Lenticular),TV Installation (Lenticular),TV Installation (Lenticular),TV Installation (Lenticular),730_2_27543502000,https://steamcommunity.com/profiles/76561199199327394/inventory/#730_2_27543502000
AWP | Chromatic Aberration,Minimal Wear,DickStacy | Berlin 2019,Natus Vincere | Katowice 2015,,,730_2_27536076085,https://steamcommunity.com/profiles/76561199199327394/inventory/#730_2_27536076085
AWP | Containment Breach,Battle-Scarred,Lambda (Holo),,,,730_2_27578498225,https://steamcommunity.com/profiles/76561199203200391/inventory/#730_2_27578498225
StatTrak™ MP9 | Bioleak,Field-Tested,WorldEdit | Boston 2018,DavCost (Foil) | London 2018,S0tF1k | London 2018,,730_2_27561376363,https://steamcommunity.com/profiles/76561199203200391/inventory/#730_2_27561376363
StatTrak™ USP-S | Blood Tiger,Minimal Wear,Team LDLC.com | DreamHack 2014,,,,730_2_27547298664,https://steamcommunity.com/profiles/76561199203200391/inventory/#730_2_27547298664
StatTrak™ P90 | Module,Minimal Wear,Chicken Lover,ESL One | Katowice 2015,,,730_2_27536735077,https://steamcommunity.com/profiles/76561199203200391/inventory/#730_2_27536735077
AK-47 | Blue Laminate,Minimal Wear,Grayhound Gaming (Holo) | Katowice 2019,Avangar (Holo) | Katowice 2019,iBUYPOWER | Cologne 2014,Team Spirit (Holo) | Katowice 2019,730_2_27585104674,https://steamcommunity.com/profiles/76561199197204208/inventory/#730_2_27585104674
M4A4 | Evil Daimyo,Field-Tested,B1ad3 (Foil) | Cologne 2015,Renegades | 2020 RMR,Separate Pixels,One Sting,730_2_27578329065,https://steamcommunity.com/profiles/76561199197204208/inventory/#730_2_27578329065
Desert Eagle | Conspiracy,Minimal Wear,jkaem | MLG Columbus 2016,FaZe Clan | MLG Columbus 2016,FaZe Clan | Cologne 2016,,730_2_27568112910,https://steamcommunity.com/profiles/76561199197204208/inventory/#730_2_27568112910
Desert Eagle | Crimson Web,Well-Worn,Natus Vincere | Katowice 2015,Aces High,,,730_2_27555978619,https://steamcommunity.com/profiles/76561199197204208/inventory/#730_2_27555978619
AWP | Lightning Strike,Factory New,SK Gaming (Holo) | Cologne 2016,,,,730_2_27552004678,https://steamcommunity.com/profiles/76561199197204208/inventory/#730_2_27552004678
AWP | Man-o'-war,Minimal Wear,Dragon Lore (Foil),Dragon Lore (Foil),Dragon Lore (Foil),Dragon Lore (Foil),730_2_27528411044,https://steamcommunity.com/profiles/76561199197204208/inventory/#730_2_27528411044
AWP | Desert Hydra,Factory New,Fnatic (Holo) | Cologne 2016,Fnatic (Holo) | Cologne 2016,Fnatic (Holo) | Cologne 2016,Fnatic (Holo) | Cologne 2016,730_2_27522155290,https://steamcommunity.com/profiles/76561199197204208/inventory/#730_2_27522155290
Glock-18 | Water Elemental,Minimal Wear,FaZe Clan | Cologne 2016,FaZe Clan | Cologne 2016,FaZe Clan | Cologne 2016,FaZe Clan | Cologne 2016,730_2_27573829648,https://steamcommunity.com/profiles/76561199199817726/inventory/#730_2_27573829648
AWP | Hyper Beast,Field-Tested,SK Gaming (Holo) | Krakow 2017,FalleN (Foil) | Krakow 2017,,,730_2_27563182272,https://steamcommunity.com/profiles/76561199199817726/inventory/#730_2_27563182272
AK-47 | Elite Build,Battle-Scarred,Unicorn,ENCE (Foil) | Berlin 2019,Natus Vincere | Cologne 2016,GuardiaN | Cologne 2016,730_2_27585075748,https://steamcommunity.com/profiles/76561199197371904/inventory/#730_2_27585075748
P250 | Muertos,Field-Tested,compLexity Gaming | London 2018,FaZe Clan | Antwerp 2022,FaZe Clan | Stockholm 2021,gob b (Foil) | Cologne 2015,730_2_27585075669,https://steamcommunity.com/profiles/76561199197371904/inventory/#730_2_27585075669
M4A1-S | Leaded Glass,Field-Tested,Team Liquid | Stockholm 2021,Team Liquid | Cologne 2016,Team Liquid | Stockholm 2021,Liquid (Holo) | 2020 RMR,730_2_27576621010,https://steamcommunity.com/profiles/76561199197371904/inventory/#730_2_27576621010
AK-47 | Neon Rider,Minimal Wear,Legendary Eagle Master (Holo),flamie (Gold) | Berlin 2019,Legendary Eagle Master (Holo),Legendary Eagle Master (Holo),730_2_27576460131,https://steamcommunity.com/profiles/76561199197371904/inventory/#730_2_27576460131
M4A1-S | Hyper Beast,Well-Worn,GamerLegion (Glitter) | Rio 2022,Astralis | Cologne 2016,,,730_2_27562301117,https://steamcommunity.com/profiles/76561199197371904/inventory/#730_2_27562301117
AK-47 | X-Ray,Battle-Scarred,Showdown (Foil),Vitality (Holo) | Stockholm 2021,Vitality (Holo) | Stockholm 2021,Vitality (Holo) | Stockholm 2021,730_2_27557608528,https://steamcommunity.com/profiles/76561199197371904/inventory/#730_2_27557608528
M4A1-S | Hyper Beast,Battle-Scarred,EliGE | Cologne 2016,EliGE | Cologne 2016,,,730_2_27555808499,https://steamcommunity.com/profiles/76561199197371904/inventory/#730_2_27555808499
AWP | Elite Build,Field-Tested,G2 Esports | Cologne 2016,,,,730_2_27537774972,https://steamcommunity.com/profiles/76561199197371904/inventory/#730_2_27537774972
M4A1-S | Mecha Industries,Field-Tested,G2 Esports (Holo) | Stockholm 2021,Virtus.Pro (Holo) | Cologne 2016,G2 Esports | Antwerp 2022,,730_2_27534498933,https://steamcommunity.com/profiles/76561199197371904/inventory/#730_2_27534498933
P2000 | Coach Class,Minimal Wear,Natus Vincere | Cologne 2016,OpTic Gaming | Cologne 2016,SK Gaming | Cologne 2016,,730_2_27533680873,https://steamcommunity.com/profiles/76561199197371904/inventory/#730_2_27533680873
StatTrak™ M4A4 | Desolate Space,Minimal Wear,Infinite Diamond (Holo),Infinite Diamond (Holo),,,730_2_27518182392,https://steamcommunity.com/profiles/76561199197371904/inventory/#730_2_27518182392
StatTrak™ Nova | Tempest,Field-Tested,Team Liquid | Antwerp 2022,Team Liquid | Antwerp 2022,Fnatic | Cologne 2014,Team Liquid | Antwerp 2022,730_2_27416280109,https://steamcommunity.com/profiles/76561199197371904/inventory/#730_2_27416280109
USP-S | Cyrex,Minimal Wear,dupreeh (Foil) | Krakow 2017,refrezh | Stockholm 2021,Twistzz (Champion) | Antwerp 2022,,730_2_27584656440,https://steamcommunity.com/profiles/76561199202701934/inventory/#730_2_27584656440
StatTrak™ M4A4 | X-Ray,Minimal Wear,Fnatic (Holo) | Katowice 2019,Fnatic (Holo) | 2020 RMR,Fnatic (Holo) | London 2018,,730_2_27568889502,https://steamcommunity.com/profiles/76561199202701934/inventory/#730_2_27568889502
StatTrak™ AK-47 | Point Disarray,Factory New,Lambda (Holo),Lambda (Holo),Master Guardian Elite,Lambda (Holo),730_2_27552527472,https://steamcommunity.com/profiles/76561199202701934/inventory/#730_2_27552527472
AWP | Asiimov,Battle-Scarred,Fnatic (Holo) | Katowice 2015,,,,730_2_27535079260,https://steamcommunity.com/profiles/76561199202701934/inventory/#730_2_27535079260
Tec-9 | Isaac,Field-Tested,Team SoloMid | Cologne 2015,HellRaisers | Cologne 2014,Team SoloMid | Cologne 2015,Team SoloMid | Cologne 2015,730_2_27534172608,https://steamcommunity.com/profiles/76561199202701934/inventory/#730_2_27534172608
StatTrak™ AWP | Corticera,Minimal Wear,Team LDLC.com | Cologne 2014,,,,730_2_27583341867,https://steamcommunity.com/profiles/76561199198756470/inventory/#730_2_27583341867
USP-S | Guardian,Field-Tested,Gambit Gaming (Holo) | MLG Columbus 2016,Virtus.Pro | Cologne 2016,FURIA (Holo) | 2020 RMR,FURIA (Holo) | 2020 RMR,730_2_27572154411,https://steamcommunity.com/profiles/76561199198756470/inventory/#730_2_27572154411
AK-47 | Orbit Mk01,Field-Tested,gla1ve (Foil) | Boston 2018,,,,730_2_27571628319,https://steamcommunity.com/profiles/76561199198756470/inventory/#730_2_27571628319
AK-47 | Neon Revolution,Field-Tested,autimatic (Foil) | Boston 2018,karrigan (Champion) | Antwerp 2022,broky (Champion) | Antwerp 2022,Xizt (Foil) | London 2018,730_2_27568940773,https://steamcommunity.com/profiles/76561199198756470/inventory/#730_2_27568940773
USP-S | Monster Mashup,Minimal Wear,Snax (Foil) | London 2018,,,,730_2_27522601596,https://steamcommunity.com/profiles/76561199198756470/inventory/#730_2_27522601596
M4A1-S | Atomic Alloy,Field-Tested,Team LDLC.com | Cologne 2014,,,,730_2_27499174281,https://steamcommunity.com/profiles/76561199198756470/inventory/#730_2_27499174281
AK-47 | Jaguar,Minimal Wear,Ninjas in Pyjamas (Foil) | Cluj-Napoca 2015,,,,730_2_27575833560,https://steamcommunity.com/profiles/76561199199295265/inventory/#730_2_27575833560
StatTrak™ Glock-18 | Steel Disruption,Minimal Wear,The 'Nader,The Guru,Silver,Virtus.Pro | DreamHack 2014,730_2_27528757488,https://steamcommunity.com/profiles/76561199199295265/inventory/#730_2_27528757488
AK-47 | Redline,Field-Tested,Gambit Gaming (Holo) | MLG Columbus 2016,G2 Esports | Cologne 2016,Bosh (Holo),Bish (Holo),730_2_27572351010,https://steamcommunity.com/profiles/76561199199015681/inventory/#730_2_27572351010
M4A4 | In Living Color,Minimal Wear,Blue Gem (Glitter),Blue Gem (Glitter),Laser Beam,,730_2_27570841159,https://steamcommunity.com/profiles/76561199199015681/inventory/#730_2_27570841159
AWP | Electric Hive,Minimal Wear,Cbbl (Holo),Blue Gem (Glitter),Blue Gem (Glitter),Dragon Lore (Foil),730_2_27558158807,https://steamcommunity.com/profiles/76561199199015681/inventory/#730_2_27558158807
AK-47 | Redline,Field-Tested,Baby Lore,Showdown (Foil),Baby Howl,,730_2_27557508705,https://steamcommunity.com/profiles/76561199199015681/inventory/#730_2_27557508705
M4A4 | Desolate Space,Minimal Wear,Astralis (Holo) | Cologne 2016,,,,730_2_27556526706,https://steamcommunity.com/profiles/76561199199015681/inventory/#730_2_27556526706
M4A1-S | Basilisk,Field-Tested,SK Gaming | Cologne 2016,zehN | Krakow 2017,zehN | Krakow 2017,,730_2_27551729871,https://steamcommunity.com/profiles/76561199199015681/inventory/#730_2_27551729871
StatTrak™ AK-47 | Slate,Minimal Wear,Incineration (Holo),Pain Train (Holo),,,730_2_27535891666,https://steamcommunity.com/profiles/76561199199015681/inventory/#730_2_27535891666
FAMAS | Mecha Industries,Minimal Wear,Leaving The Station (Holo),,,,730_2_27521505344,https://steamcommunity.com/profiles/76561199199015681/inventory/#730_2_27521505344
M4A1-S | Guardian,Minimal Wear,Team LDLC.com | Cologne 2014,NBK- | MLG Columbus 2016,The Guru,,730_2_27479299002,https://steamcommunity.com/profiles/76561199199015681/inventory/#730_2_27479299002
AK-47 | Blue Laminate,Minimal Wear,Team EnVyUs (Foil) | Cologne 2015,Team EnVyUs | Cluj-Napoca 2015,Flash Gaming | Boston 2018,,730_2_27586695697,https://steamcommunity.com/profiles/76561199197661283/inventory/#730_2_27586695697
AWP | Asiimov,Battle-Scarred,ESL (Holo) | Cologne 2016,,,,730_2_27579646523,https://steamcommunity.com/profiles/76561199197661283/inventory/#730_2_27579646523
Desert Eagle | Mecha Industries,Minimal Wear,Headshot Guarantee,Counter-Tech,Incineration (Holo),,730_2_27562749146,https://steamcommunity.com/profiles/76561199197661283/inventory/#730_2_27562749146
AWP | Neo-Noir,Field-Tested,EZ,Cyber Romanov (Holo),Runtime (Holo),Poorly Drawn Balkan (Holo),730_2_27569832123,https://steamcommunity.com/profiles/76561199198894507/inventory/#730_2_27569832123
AWP | Elite Build,Minimal Wear,G2 Esports | Cologne 2016,GODSENT (Holo) | Stockholm 2021,,,730_2_27538957079,https://steamcommunity.com/profiles/76561199198894507/inventory/#730_2_27538957079
AWP | Redline,Field-Tested,Ninjas in Pyjamas (Gold) | Stockholm 2021,device (Holo) | Stockholm 2021,Ninjas in Pyjamas (Holo) | Cologne 2014,Ninjas in Pyjamas | Cologne 2014,730_2_27521222769,https://steamcommunity.com/profiles/76561199198894507/inventory/#730_2_27521222769
AWP | Redline,Minimal Wear,Baby Howl,PGL (Glitter) | Antwerp 2022,FaZe Clan (Foil) | MLG Columbus 2016,ESL One Cologne 2014 (Red),730_2_27586243702,https://steamcommunity.com/profiles/76561199203038750/inventory/#730_2_27586243702
M4A1-S | Basilisk,Battle-Scarred,Fnatic | Boston 2018,ELEAGUE (Holo) | Boston 2018,,,730_2_27586243690,https://steamcommunity.com/profiles/76561199203038750/inventory/#730_2_27586243690
StatTrak™ AWP | Chromatic Aberration,Minimal Wear,Cloud9 (Holo) | Cologne 2014,,,,730_2_27572613317,https://steamcommunity.com/profiles/76561199203038750/inventory/#730_2_27572613317
